SLIC,Abbreviation,GMT_Offset,SLIC_Name,SLIC_Type,SLIC_CC,SLIC_State,Region,District,Building
22,YVRAP ,-8, VANCOUVER            ,ARPT    ,CA, BC,12,97,2099
59,MMIFL ,-5, IMPORT HUB           ,HUB     ,US, FL,13,46,59
68,68,-4, CAF COUNTER          ,CTR     ,PR, PR,13,41,89
69,69,-5, EXPORT HUB           ,HUB     ,US, FL,13,46,59
75,CULPR ,-4, CULEBRA              ,CTR     ,PR, PR,13,41,75
79,AGUPR ,-4, AGUADILLA GATEWAY    ,ARPT    ,PR, PR,23,44,79
84,SJNGF ,-4, SAN JUAN             ,FRT     ,PR, PR,27,8,84
88,88,-4, SAN JUAN             ,CPU     ,PR, PR,13,41,89
89,SJAPR ,-4, SAN JUAN             ,HUB     ,PR, PR,13,41,89
90,BAYPR ,-4, BAYAMON              ,CTR     ,PR, PR,13,41,90
91,SJUPR ,-4, SAN JUAN-NORTH       ,CTR     ,PR, PR,13,41,89
92,VIEPR ,-4, VIEQUES              ,CTR     ,PR, PR,13,41,92
93,AREPR ,-4, ARECIBO              ,CTR     ,PR, PR,13,41,93
94,CAGPR ,-4, CAGUAS               ,CTR     ,PR, PR,13,41,94
95,PONPR ,-4, PONCE                ,CTR     ,PR, PR,13,41,95
96,MAYPR ,-4, MAYAGUEZ             ,CTR     ,PR, PR,13,41,96
97,97,-4, SAN JUAN-CAROLINA    ,CTR     ,PR, PR,13,41,89
98,98,-4, SAN JUAN-SOUTH       ,CTR     ,PR, PR,13,41,89
99,SJUAS ,-4, SAN JUAN             ,ARPT    ,PR, PR,13,41,89
00AC ,ACHBC ,-8, AIRPORT CUSTOMS HSE  ,EX PT   ,CA, BC,12,97,9047
00ACM,ACMNS ,-4, AULDS COVE - MEETPOIN,EX PT   ,CA, NS,12,97,659
00AM ,CCAAB ,-7, CANADIAN AIR CARGO   ,ARPT    ,CA, AB,12,97,5699
00AN ,CRPAB ,-7, CROSSFIELD PETRO     ,EX PT   ,CA, AB,12,97,5699
00BK ,BRKON ,-5, BROCKVILLE-1000 ISLAN,EX PT   ,CA, ON,12,97,4579
00BM ,BROON ,-5, BROCKVILLE MEET PT   ,EX PT   ,CA, ON,12,97,4579
00BPM,BRPPE ,-4, 489 BRACKLEY POINT-ME,EX PT   ,CA, PE,12,97,1375
00CA ,CAUPQ ,-5, CHUTE AUXOUTARDES    ,EX PT   ,CA, QC,12,97,4579
00CBC,EBCPE ,-4, ESSO - BORDEN CARLETO,EX PT   ,CA, PE,12,97,1375
00CGS,GARPE ,-4, 15 GARFIELD ST       ,EX PT   ,CA, PE,12,97,1375
00CRY,CRYPE ,-4, CHARLOTTETWN-AGENT RA,RAIL YD ,CA, PE,12,97,1375
00CSM,CSMNS ,-4, MEETPOINT - 151 CHURC,EX PT   ,CA, NS,12,97,659
00EN ,ENCON ,-5, ENCORE SALES         ,EX PT   ,CA, ON,12,97,4579
00EO ,EORAB ,-7, EDMONTON OUTSIDE REPA,EX PT   ,CA, AB,12,97,5699
00GQ ,GNQON ,-5, GANANOQUE MEET PT    ,EX PT   ,CA, ON,12,97,4579
00GR ,CORAB ,-7, CALGARY OUTSIDE REPAI,EX PT   ,CA, AB,12,97,7439
00GRM,WALPE ,-4, 511 GRANDVILLE RD    ,EX PT   ,CA, PE,12,97,1375
00HRM,HRMNB ,-4, 128 HAMPTON RD       ,EX PT   ,CA, NB,12,97,1845
00HU ,ZULQC ,-5, MONTREAL AIRHUB      ,EX PT   ,CA, QC,27,9,2649
00HWM,HWYPE ,-4, INTERSECTION 2&13-MEE,EX PT   ,CA, PE,12,97,1375
00JK ,JDEON ,-5, JOHN DEERE DEALERSHP ,EX PT   ,CA, ON,12,97,4579
00JS ,JSTON ,-5, JUTZI PETROLEUM STRAT,EX PT   ,CA, ON,12,97,4579
00LF ,LINON ,-5," LINE FLIGHTS, ON     ",EX PT   ,CA, ON,12,97,4579
00MA ,MRYON ,-5, MARYSVILLE           ,EX PT   ,CA, ON,12,97,4579
00MDX,MUDON ,-5, 20 MAUD ST.          ,EX PT   ,CA, ON,12,97,4579
00MF ,MTFON ,-5, MOUNT FOREST MEET POI,EX PT   ,CA, ON,12,97,5165
00ML ,00ML  ,-6, WINNIPEG WASH        ,EX PT   ,CA, MB,12,97,6219
00MO ,CCMMB ,-6, COOP CARDLOCK MORRIS ,EX PT   ,CA, MB,12,97,6219
00NA ,CPTON ,-5, CP RAIL TORONTO      ,RAIL YD ,CA, ON,12,97,4579
00NB ,CNTON ,-5, CN RAIL TORONTO      ,RAIL YD ,CA, ON,12,97,4579
00NC ,CPMPQ ,-5, CP RAIL MONTREAL     ,RAIL YD ,CA, QC,12,97,2669
00ND ,CNMPQ ,-5, CN RAIL MONTREAL     ,RAIL YD ,CA, QC,12,97,2669
00NE ,CPEAB ,-7, CP RAIL EDMONTON     ,RAIL YD ,CA, AB,12,97,5699
00NF ,CNEAB ,-7, CN RAIL EDMONTON     ,RAIL YD ,CA, AB,12,97,5699
00NFM,HNFPE ,-4, NO FRILLS HWY 1-MEETP,EX PT   ,CA, PE,12,97,1375
00NG ,CPWMN ,-6, CP RAIL WINNIPEG     ,RAIL YD ,CA, MB,12,97,6219
00NH ,CPRSA ,-6, CP RAIL REGINA       ,RAIL YD ,CA, SK,12,97,2689
00NJ ,CPSSA ,-6, CP RAIL SASKATOON    ,RAIL YD ,CA, SK,12,97,4299
00NK ,CPCAB ,-7, CP RAIL CALGARY      ,RAIL YD ,CA, AB,12,97,7439
00NL ,CPLAB ,-7, CP RAIL LETHBRIDGE   ,RAIL YD ,CA, AB,12,97,7439
00NM ,CPVBC ,-8, CP RAIL VANCOUVER    ,RAIL YD ,CA, BC,12,97,9047
00NP ,NAPON ,-5, NAPANEE - FLYING J   ,EX PT   ,CA, ON,12,97,4579
00NS ,CNVBC ,-8, CN RAIL VANCOUVER    ,RAIL YD ,CA, BC,12,97,2099
00NT ,CNRMB ,-6, CN RAIL WINNIPEG     ,RAIL YD ,CA, MB,12,97,6219
00NV ,CNCAB ,-7, CN RAIL CALGARY      ,RAIL YD ,CA, AB,12,97,7439
00NW ,00NW  ,-6, CN RAIL REGINA       ,RAIL YD ,CA, SK,12,97,2689
00OC ,CCHMB ,-6, COOP CARDLOCK HEADING,EX PT   ,CA, MB,12,97,6219
00OS ,OSPON ,-5, OTTAWA SPIN OFF      ,EX PT   ,CA, ON,12,97,4089
00PA ,TENON ,-5, TEN ACRE TRUCK STOP  ,EX PT   ,CA, ON,12,97,4579
00PB ,HHAON ,-5, HEAVY HAULER TRK ST  ,EX PT   ,CA, ON,12,97,4579
00PC ,00PC  ,-5, CA CUSTOMS-CHAMPLAIN ,EX PT   ,CA, QC,12,97,2669
00PD ,00PD  ,-6, CA CUSTOMS-EMERSON   ,EX PT   ,CA, MB,12,97,6219
00PE ,00PE  ,-5, CA CUSTOMS-FT ERIE   ,EX PT   ,CA, ON,12,97,4579
00PF ,00PF  ,-8, CA CUSTOMS-VANCOUVER ,EX PT   ,CA, BC,12,97,9047
00PG ,00PG  ,-5, CA CUSTOMS-WINDSOR   ,EX PT   ,CA, ON,12,97,4579
00PH ,00PH  ,-7, CALGARY              ,EX PT   ,CA, AB,12,97,7439
00PJ ,00PJ  ,-5, CAMBRIDGE            ,EX PT   ,CA, ON,12,97,4579
00PK ,00PK  ,-7, EDMONTON             ,EX PT   ,CA, AB,12,97,5699
00PL ,00PL  ,-8, GOLDEN               ,EX PT   ,CA, BC,12,97,9047
00PM ,BBION ,-5, BILL BISHOP ARPT     ,ARPT    ,CA, ON,12,97,4579
00PN ,00PN  ,-5, HIGHWAY 101          ,EX PT   ,CA, ON,12,97,4579
00PO ,PREON ,-5, ESSO PRESCOTT EXCHANG,EX PT   ,CA, ON,12,97,4579
00PP ,00PP  ,-5, HIGHWAY 11           ,EX PT   ,CA, ON,12,97,4579
00PQ ,00PQ  ,-5, ORONO MEETPT-9 COBBLE,EX PT   ,CA, ON,12,97,4579
00PR ,00PR  ,-5, HIGHWAY 144          ,EX PT   ,CA, ON,12,97,4579
00PRM,PRMPE ,-4, 11 PETERS RD - MEETPO,EX PT   ,CA, PE,12,97,1375
00PS ,00PS  ,-5, HIGHWAY 17           ,EX PT   ,CA, ON,12,97,4579
00PT ,00PT  ,-5, HIGHWAY 28           ,EX PT   ,CA, ON,12,97,4579
00PU ,00PU  ,-5, HIGHWAY 41           ,EX PT   ,CA, ON,12,97,4579
00PV ,00PV  ,-5, HIGHWAY 599          ,EX PT   ,CA, ON,12,97,4579
00PW ,00PW  ,-5, HIGHWAY 7            ,EX PT   ,CA, ON,12,97,4579
00PX ,00PX  ,-5, HUSKY-THUNDER BAY    ,EX PT   ,CA, ON,12,97,4579
00PY ,00PY  ,-5, IGNACE               ,EX PT   ,CA, ON,12,97,4579
00PZ ,06PZ  ,-5, HWY 6                ,EX PT   ,CA, ON,12,97,4579
00QA ,HOION ,-5, HUSKY OIL            ,EX PT   ,CA, ON,12,97,4579
00QB ,00QB  ,-5, KENORA               ,EX PT   ,CA, ON,12,97,4579
00QC ,00QC  ,-6, LLYODMINSTER         ,EX PT   ,CA, SK,12,97,2689
00QD ,00QD  ,-5, MANITOWADGE          ,EX PT   ,CA, ON,12,97,4579
00QE ,00QE  ,-6, MAPLE CREEK          ,EX PT   ,CA, SK,12,97,2689
00QEX,QUEON ,-5, 635 QUEEN ST EAST    ,EX PT   ,CA, ON,12,97,4579
00QF ,00QF  ,-6, MARSHALL             ,EX PT   ,CA, SK,12,97,2689
00QG ,00QG  ,-5, MILTON               ,EX PT   ,CA, ON,12,97,4579
00QH ,00QH  ,-5, NIPIGON              ,EX PT   ,CA, ON,12,97,4579
00QJ ,00QJ  ,-5, NOBEL                ,EX PT   ,CA, ON,12,97,4579
00QK ,CATON ,-5, CATARQUI             ,EX PT   ,CA, ON,12,97,4579
00QL ,00QL  ,-8, PRINCETON            ,EX PT   ,CA, BC,12,97,9047
00QM ,00QM  ,-8, SALMON ARM           ,EX PT   ,CA, BC,12,97,9047
00QN ,00QN  ,-8, VANCOUVER BARGE      ,EX PT   ,CA, BC,12,97,9047
00QP ,00QP  ,-8, VICTORIA BARGE       ,EX PT   ,CA, BC,12,97,9047
00QQ ,00QQ  ,-6, VIRDEN               ,EX PT   ,CA, SK,12,97,2689
00QR ,00QR  ,-5, WALKER ROAD          ,EX PT   ,CA, ON,12,97,4579
00QS ,00QS  ,-5, WHITE RIVER          ,EX PT   ,CA, ON,12,97,4579
00QT ,00QT  ,-5, WOODSTOCK            ,EX PT   ,CA, ON,12,97,4579
00QU ,00QU  ,-5, VANKLEEK HILL        ,EX PT   ,CA, ON,12,97,4579
00QV ,00QV  ,-5, MORRISBURG           ,EX PT   ,CA, ON,12,97,4579
00QW ,00QW  ,-5, HAMEL MT PT          ,EX PT   ,CA, ON,12,97,4579
00QX ,PCABC ,-8, PETRO CANADA B.C.    ,EX PT   ,CA, BC,12,97,9047
00QY ,OCIAP ,-5, QUEBEC CITY AIRPORT  ,ARPT    ,CA, QC,12,97,2500
00QZ ,PFSON ,-5, PIONEER FUELING STATI,EX PT   ,CA, ON,12,97,4089
00RA ,00RA  ,-5, HWY 8                ,EX PT   ,CA, ON,12,97,4579
00RC ,00RC  ,-5, DOWNTOWN TORONTO     ,EX PT   ,CA, ON,12,97,4579
00RE ,BEAON ,-5, BEAVERTON            ,EX PT   ,CA, ON,12,97,4579
00RF ,BLAON ,-5, BATHURST & LAKESHORE ,EX PT   ,CA, ON,12,97,4579
00RG ,JORON ,-5, JORDAN & KING STREET ,EX PT   ,CA, ON,12,97,4579
00RH ,CACON ,-5, CANADIAN AIR CARGO   ,EX PT   ,CA, ON,12,97,4579
00RL ,DTABC ,-8, UPS DATA PROCESSING  ,EX PT   ,CA, BC,12,97,9047
00RM ,HUNON ,-5, EAST & HUSKY         ,EX PT   ,CA, ON,12,97,2089
00RN ,GATON ,-5, GATZ ESSO            ,EX PT   ,CA, ON,12,97,2069
00RP ,PCRBC ,-8, PETRO CDA NO. 5      ,EX PT   ,CA, BC,12,97,9047
00RQ ,SCDBC ,-8, SHELL CDA NO. 17     ,EX PT   ,CA, BC,12,97,9047
00RT ,PCGBC ,-8, PETRO CDA NO. 747    ,EX PT   ,CA, BC,12,97,9047
00RU ,RPTAB ,-7, RED PINE TURBO       ,EX PT   ,CA, AB,12,97,7439
00RV ,PCNBC ,-8, PETRO CDA - MAKI RD. ,EX PT   ,CA, BC,12,97,9047
00RW ,CCCAB ,-7, CDA CUSTOMS - COUTTS ,EX PT   ,CA, AB,12,97,7439
00SA ,AG2AB ,-7, AGENT 2              ,EX PT   ,CA, AB,12,97,7439
00SB ,AG1MB ,-6, AGENT                ,EX PT   ,CA, MB,12,97,6219
00SC ,AG1BC ,-8, AGENT                ,EX PT   ,CA, BC,12,97,9047
00SD ,AG1PQ ,-5, AGENT 1              ,EX PT   ,CA, QC,12,97,2669
00SE ,AG2PQ ,-5, AGENT 2              ,EX PT   ,CA, QC,12,97,2669
00SF ,AG1ON ,-5, AGENT                ,EX PT   ,CA, ON,12,97,4579
00SG ,SGAON ,-5, SPADINA & GARDNER    ,EX PT   ,CA, ON,12,97,4579
00SH ,AG1AB ,-7, AGENT 1              ,EX PT   ,CA, AB,12,97,7439
00SHX,SHPON ,-5, 8150 SHEPPARD        ,EX PT   ,CA, ON,12,97,4579
00SM ,MHEAB ,-7, MEDICINE HAT EXCHANGE,EX PT   ,CA, AB,12,97,7439
00SR ,SBFBC ,-8, SWARTZ BAY FERRY     ,EX PT   ,CA, BC,12,97,8875
00TL ,BTDBC ,-8, BARGE TERMINAL DELTA ,EX PT   ,CA, BC,12,97,2099
00TW ,CTWMB ,-6, CENTRAL TRAILERS WINN,EX PT   ,CA, MB,12,97,6219
00WC ,CCWMB ,-6, COOP CARDLOCK WINNIPE,EX PT   ,CA, MB,12,97,6219
00WD ,WIDON ,-5, WINDSOR DETROIT CUSTO,EX PT   ,CA, ON,12,97,4579
00WG ,WGKAP ,-5, KINGSTON AIRPORT     ,ARPT    ,CA, QC,12,97,2500
00WO ,WORMR ,-6, WINNIPEG OUTSIDE REPA,EX PT   ,CA, MB,12,97,6219
00XE ,XERON ,-5, XEROX BUILDING       ,EX PT   ,CA, ON,12,97,4509
00YC ,ACCON ,-5, AIR CANADA CARGO YYZ ,ARPT    ,CA, ON,12,97,4579
00YO ,YOWON ,-5, OTTAWA CARGOJET      ,ARPT    ,CA, ON,12,97,4089
00YS ,JETON ,-5, JETALL               ,EX PT   ,CA, ON,12,97,4579
00ZC ,ZCTAB ,-7, CBSA COUTTS          ,EX PT   ,CA, AB,27,9,7428
00ZI ,ZIAON ,-5, CBSA SARNIA          ,EX PT   ,CA, ON,27,9,3960
00ZJ ,ZXKON ,-6, CBSA FT FRANCES      ,EX PT   ,CA, ON,27,9,6286
00ZO ,ZXOQC ,-5, CBSA LA COLLE        ,EX PT   ,CA, QC,27,9,2638
00ZQ ,ZXQON ,-5, CBSA QUEENSTON       ,EX PT   ,CA, ON,27,9,4677
00ZS ,ZSXNB ,-4, CBSA ST STEPHEN      ,EX PT   ,CA, NB,27,9,988
00ZW ,ZWNON ,-5, CBSA WINDSOR         ,EX PT   ,CA, ON,27,9,3960
101,101,-5, SPRINGFIELD-COUNTY   ,CTR     ,US, MA,7,36,119
102,102,-5, NOT - OPEN 7         ,STS     ,US, MA,7,36,119
104,PTTMA ,-5, PITTSFIELD CPU       ,CPU     ,US, MA,7,36,120
105,105,-3, SA-ST.JOHN'S NL      ,CTR     ,CA, NL,12,97,349
106,SPGRR ,-5, SPRINGFIELD          ,RAIL YD ,US, MA,7,36,119
108,108,-5, BRAINTREE - 209 CPU  ,CPU     ,US, MA,7,36,249
110,110,-5, SPRINGFIELD-CITY     ,CTR     ,US, MA,7,36,119
113,SPRGF ,-5, SPRINGFIELD          ,FRT     ,US, MA,27,8,113
115,115,-5, OSP ADMINISTRATION   ,CTR     ,CA, NL,12,97,4579
118,118,-5, SPRINGFIELD          ,CPU     ,US, MA,7,36,119
119,SPRMA ,-5, SPRINGFIELD          ,HUB     ,US, MA,7,36,119
120,PITMA ,-5, PITTSFIELD           ,CTR     ,US, MA,7,36,120
123,STJGF ,-3, ST JOHNS             ,FRT     ,CA, NL,27,9,123
125,125,-3, IPFT                 ,CTR     ,CA, NL,12,97,349
127,127,-5, DARTMOUTH - 0299 CPU ,CPU     ,US, MA,7,36,270
128,128,-5, SAGAMORE  - 0299 CPU ,CPU     ,US, MA,7,36,259
130,SDEMA ,-5, SOUTH DEERFIELD      ,CTR     ,US, MA,7,36,130
131,MHTUS ,-5, MANCHESTER INTL      ,ARPT    ,US, NH,7,36,131
135,135,-3, SA-D3 ST. JOHN'S     ,CTR     ,CA, NL,12,97,349
137,137,-5, DEERFIELD CPU        ,CPU     ,US, MA,7,36,130
138,138,-5, SPRMA-0119 CPU       ,CPU     ,US, MA,7,36,119
140,LEOMA ,-5, LEOMINSTER           ,CTR     ,US, MA,7,36,140
145,145,-3, SA-D4 ST. JOHN'S     ,CTR     ,CA, NL,12,97,349
146,146,-3, SA-MARYSTOWN         ,CTR     ,CA, NL,12,97,146
147,147,-5, WORCESTER            ,DSH     ,US, MA,7,36,169
148,148,-5, LEOMINSTER - 0169 CPU,CPU     ,US, MA,7,36,140
150,WOEMA ,-5, WORCESTER-EAST       ,CTR     ,US, MA,7,36,169
152,152,-6, MEX CITY-PANTITLAN   ,CTR     ,MX,   ,13,21,159
153,153,-6, MEX CITY-COYOACAN    ,CTR     ,MX,   ,13,21,159
158,158,-5, BRAINTREE - 0249 CPU ,CPU     ,US, MA,7,36,249
159,MCIMX ,-6, MEXICO CITY HUB      ,HUB     ,MX,   ,13,21,159
160,WOWMA ,-5, WORCESTER-WEST       ,CTR     ,US, MA,7,36,169
161,161,-5, NOT - OPEN 4         ,STS     ,US, MA,7,36,169
163,163,-5, NOT - OPEN 6         ,STS     ,US, MA,7,36,169
164,164,-5, NOT - OPEN 5         ,STS     ,US, MA,7,36,169
168,168,-5, WORCESTER WEST - 0169,CPU     ,US, MA,7,36,169
169,WORMA ,-5, WORCESTER            ,HUB     ,US, MA,7,36,169
016WN,WNCPU ,-5, WORCESTER NIGHT CPU  ,CPU     ,US, MA,7,36,169
170,ASHMA ,-5, ASHLAND              ,CTR     ,US, MA,7,36,170
172,172,-5, MARLBORO             ,CTR     ,US, MA,7,36,189
175,LAZMX ,-7, LA PAZ               ,CTR     ,MX,   ,13,21,175
176,176,-5, CHELMSFORD D         ,CPU     ,US, MA,7,36,189
177,177,-5, WORCESTER EAST - 0169,CPU     ,US, MA,7,36,169
178,178,-5, ASHLAND - 0169 CPU   ,CPU     ,US, MA,7,36,170
017SP,017SP ,-5,Customer Location,CSL     ,US, MA,7,36,  017SP 
180,BILLR ,-5, LOWELL               ,CTR     ,US, MA,7,36,189
183,183,-5,Customer Location,CSL     ,US, MA,7,36,183
184,184,-5, WILMINGTON           ,CTR     ,US, MA,7,36,189
185,185,-5, LAWRENCE             ,CTR     ,US, MA,7,36,189
186,WLGMA ,-5, WILMINGTON VILLAGE   ,CTR     ,US, MA,7,36,186
187,CHLMA ,-5, CHELMSFORD           ,DSH     ,US, MA,7,36,189
188,188,-5, CHELMSFORD - T       ,CPU     ,US, MA,7,36,189
189,CHEMA ,-5, CHELMSFORD           ,HUB     ,US, MA,7,36,189
190,LYNNO ,-5, LYNNFIELD            ,CTR     ,US, MA,7,36,199
193,LYNSO ,-5, LYNNFIELD SOUTH      ,CTR     ,US, MA,7,36,199
194,194,-5, MHT                  ,ACTR    ,US, MA,7,36,189
195,SBRGF ,-5, SOUTHBOROUGH         ,FRT     ,US, MA,27,8,195
197,COAMX ,-6, COATZACOALCOS        ,CTR     ,MX,   ,13,21,197
198,198,-5, CHELMSFORD - N       ,CPU     ,US, MA,7,36,189
199,LYNMA ,-5, LYNNFIELD SORT       ,HUB     ,US, MA,7,36,199
01AN ,ZABVA ,-5, ABINGDON             ,EX PT   ,US, VA,27,8,3764
01CJ ,CAJNS ,-4, CARGO JET-PRATT&WHITN,EX PT   ,CA, NS,12,97,659
01IN ,INVMA ,-5, INVACARE             ,EX PT   ,US, MA,7,36,169
01MR ,MFLMA ,-5, MARTELLS EXCHANGE LOT,EX PT   ,US, MA,7,36,189
01OB ,OABMA ,-5, OAK BLUFF BOAT YARD  ,EX PT   ,US, MA,7,36,269
01SB ,X60MA ,-5, EXT 60 RT 90S. RT286 ,EX PT   ,US, MA,7,36,189
01SJ ,SJANL ,-3, ST JOHNS - HANGER 4  ,EX PT   ,CA, NL,12,97,339
01WX ,WCLMA ,-5, WOBURN STREET CARRIER,EX PT   ,US, MA,7,36,189
200,200,-5, BROCKTON MDC         ,CTR     ,US, MA,7,36,249
201,201,-5, ASHLAND - 0170 CPU   ,CPU     ,US, MA,7,36,170
202,202,-5, LOGAN - AIR          ,ACTR    ,US, MA,7,36,229
203,203,-5, NORWOOD-QUINCY       ,CTR     ,US, MA,7,36,209
204,204,-5, QUINCY - 0299 CPU    ,CPU     ,US, MA,7,36,209
205,205,-5, FRANKLIN - 0299 CPU  ,CPU     ,US, MA,7,36,209
206,206,-5, QUINCY - 0209 CPU    ,CPU     ,US, MA,7,36,209
207,207,-5, WALTHAM - 0219 CPU   ,CPU     ,US, MA,7,36,219
208,208,-5, SOMERVILLE - 0231 CPU,CPU     ,US, MA,7,36,212
209,NORMA ,-5, NORWOOD HUB          ,HUB     ,US, MA,7,36,209
210,210,-5, WATERTOWN-BACK BAY   ,CTR     ,US, MA,7,36,219
211,211,-5, BROCKTON EAST        ,CTR     ,US, MA,7,36,249
212,SOMMA ,-5, SOMERVILLE           ,CTR     ,US, MA,7,36,212
213,213,-5, NORWOOD-FRANKLIN     ,CTR     ,US, MA,7,36,209
214,ALSTN ,-5, ALSTON (WATERTOWN)   ,RAIL YD ,US, MA,7,36,219
215,215,-5, WATERTOWN-WALTHAM    ,CTR     ,US, MA,7,36,219
216,216,-5, BACK BAY - 0209 CPU  ,CPU     ,US, MA,7,36,219
217,217,-5, WALTHAM - 0212 CPU   ,CPU     ,US, MA,7,36,219
218,218,-5, BACK BAY - 0219 CPU  ,CPU     ,US, MA,7,36,219
219,WATMA ,-5, WATERTOWN HUB        ,HUB     ,US, MA,7,36,219
221,221,-5, BRAINTREE - 0189 CPU ,CPU     ,US, MA,7,36,249
222,222,-5, BRAINTREE - 0169 CPU ,CPU     ,US, MA,7,36,249
223,223,-5, BROCKTON - 0709 CPU  ,CPU     ,US, MA,7,36,249
224,224,-5, NOT - OPEN 8         ,STS     ,US, MA,7,36,219
225,225,-5, NOT - OPEN 15        ,STS     ,US, MA,7,36,229
226,226,-5, YARMOUTH - 0169 CPU  ,CPU     ,US, MA,7,36,269
227,227,-5, MANCHESTER-WORCESTER(,CPU     ,US, NH,7,36,319
228,228,-5, LYNNFIELD            ,CPU     ,US, MA,7,36,199
229,BOSAS ,-5, LOGAN AIRPORT        ,ARPT    ,US, MA,7,36,229
230,WORRR ,-5, WORCESTER (WORCES)   ,RAIL YD ,US, MA,7,36,169
231,SBOMA ,-5, SOUTH BOSTON         ,CTR     ,US, MA,7,36,231
233,233,-5, BROCKTON - 0169 CPU  ,CPU     ,US, MA,7,36,249
234,234,-5, SAGAMORE - 0169 CPU  ,CPU     ,US, MA,7,36,259
235,235,-4, CPU CHARLOTTETOWN    ,CPU     ,CA, PE,12,97,1375
236,CSMMA ,-5,Customer Location,CSL     ,US, MA,7,36,236
238,238,-5, BROCKTON - 0299 CPU  ,CPU     ,US, MA,7,36,249
240,240,-5, BROCKTON WEST        ,CTR     ,US, MA,7,36,249
245,245,-3, SA-CLARENVILLE       ,CTR     ,CA, NL,12,97,245
248,248,-5, BROCKTON - 0209 CPU  ,CPU     ,US, MA,7,36,249
249,BROMA ,-5, BROCKTON HUB         ,HUB     ,US, MA,7,36,249
024JJ,024JJ ,-5,Customer Location,CSL     ,US, MA,7,36,  024JJ 
250,MVYMA ,-5, MARTHAS VINEYARD     ,CTR     ,US, MA,7,36,250
251,NNTMA ,-5, NANTUCKET            ,CTR     ,US, MA,7,36,251
254,DURMX ,-6, DURANGO              ,CTR     ,MX,   ,13,21,254
255,255,-4, OSP PEI              ,CTR     ,CA, NL,12,97,1549
257,OXCMX ,-6, OAXACA               ,CTR     ,MX,   ,13,21,257
258,258,-5, SOMERVILLE - 0219 CPU,CPU     ,US, MA,7,36,212
259,SAMMA ,-5, SAGAMORE HUB         ,HUB     ,US, MA,7,36,259
260,SAGMA ,-5, SAGAMORE             ,CTR     ,US, MA,7,36,259
261,YARMA ,-5, YARMOUTH-YARMOUTH    ,CTR     ,US, MA,7,36,269
262,262,-5, YARMOUTH - 0299 TDP  ,CPU     ,US, MA,7,36,269
263,263,-5, YARMOUTH - 0249 TDP  ,CPU     ,US, MA,7,36,269
265,265,-4, OSP NEW BRUNSWICK    ,CTR     ,CA, NL,12,97,1549
266,STOGF ,-5, STONEHAM             ,FRT     ,US, MA,27,8,266
267,267,-5, YARMOUTH - 0259 CPU  ,CPU     ,US, MA,7,36,269
268,268,-5, FRANKLIN - 0209 CPU  ,CPU     ,US, MA,7,36,209
269,YAMMA ,-5, YARMOUTH HUB         ,HUB     ,US, MA,7,36,269
270,DARMA ,-5, DARTMOUTH            ,CTR     ,US, MA,7,36,270
271,271,-5, NOT - OPEN 18        ,STS     ,US, MA,7,36,259
272,272,-5," PROVIDENCE-EAST, MA  ",CTR     ,US, MA,7,36,299
273,273,-5," PROVIDENCE-SOUTH, MA ",CTR     ,US, MA,7,36,299
274,KNGMA ,-5, KINGSTON - VILLAGE   ,CTR     ,US, MA,7,36,274
275,275,-3, SA-GRAND FALLS-NL    ,CTR     ,CA, NL,12,97,2319
276,276,-3, SA-D2 GRAND FALLS    ,CTR     ,CA, NL,12,97,2319
278,278,-5, BROCKTON - 0249 CPU  ,CPU     ,US, MA,7,36,249
279,SCBNF ,-3, SA-CORNER BROOK BLDG ,HUB     ,CA, NL,12,97,279
027AM,BOS7  ,-5,Customer Location,CSL     ,US, MA,7,36,  027AM 
027R ,FREMA ,-5, AMAZON FREETOWN REMOT,HUB     ,US, MA,7,36,  027R  
280,280,-5," PROVIDENCE-EAST, RI  ",CTR     ,US, RI,7,36,299
281,281,-5," PROVIDENCE-SOUTH, RI ",CTR     ,US, RI,7,36,299
285,285,-5, PROVIDENCE-WEST      ,CTR     ,US, RI,7,36,299
286,HYNGF ,-5, HYANNIS              ,FRT     ,US, MA,27,8,286
288,288,-5, PROVIDENCE METRO-0299,CPU     ,US, RI,7,36,299
289,PVDRI ,-5, T.F. GREEN GATEWAY   ,ARPT    ,US, RI,7,36,289
290,290,-5, PROVIDENCE-METRO     ,CTR     ,US, RI,7,36,299
291,291,-5, PROVIDENCE EAST-0299 ,CPU     ,US, RI,7,36,299
293,293,-5, DARTMOUTH - 0169 CPU ,CPU     ,US, MA,7,36,270
294,294,-5, PROVIDENCE WEST-0299 ,CPU     ,US, RI,7,36,299
297,297,-5, NOT - OPEN 9         ,STS     ,US, RI,7,36,299
298,298,-5, PROVIDENCE-SOUTH 0299,CPU     ,US, RI,7,36,299
299,PRORI ,-5, PROVIDENCE HUB       ,HUB     ,US, RI,7,36,299
02AU ,AUDMA ,-5, AUDUBON EXCHANGE LOT ,EX PT   ,US, MA,7,36,199
02AZ ,ABRNL ,-3, 90 ABERDEEN RD       ,EX PT   ,CA, NL,12,97,339
02BE ,BEWAB ,-7, BIG EAGLE TRUCK WASH ,EX PT   ,CA, AB,12,97,7439
02DM ,DUFNL ,-3, 16 DUFFY PL          ,EX PT   ,CA, NL,12,97,339
02HR ,HAMNL ,-3, 50 HAMLYN RD - UPS ST,EX PT   ,CA, NL,12,97,339
